name,popularity,explicit,duration_ms,uri,album_uri,isrc
"String Quartet No. 6 in G Major, Op. 101: III. Lento",1,False,268400,spotify:track:01toQ1HaV4k4aUqWqNsdJe,spotify:album:4V2YVRjysd08RF0GLRDDK7,FRZ140629030
FIRST,61,False,212280,spotify:track:021L6LlBBtr34BmFRHd9Ic,spotify:album:4ZDUTnUO9CDFmwdCUCQ6dG,KRMIM2120970
Heat Waves,26,False,238805,spotify:track:02MWAaffLxlfxAUY7c5dvx,spotify:album:0KTj6k94XZh0c6IEMfxeWV,GBUM72000433
Leave The Door Open,83,False,242096,spotify:track:02VBYrHfVwfEWXk5DXyf0T,spotify:album:1YgekJJTEueWDaMr7BYqPk,USAT22100906
Reckoner,68,False,290213,spotify:track:02ppMPbg1OtEdHgoPqoqju,spotify:album:5vkqYmiPBYLaalcmjujWxK,GBSTK0700007
"Die Zauberflöte, K.620 / Act 2: O Isis und Osiris (Sarastro, Chor)",1,False,201266,spotify:track:02wPB0VvxA5DRX9opniy9p,spotify:album:1HSJhsMIW2EDD4YSSkbc9e,DEF058031128
Cool With You,81,False,147880,spotify:track:02wk5BttM0QL38ERjLPQJB,spotify:album:4N1fROq2oeyLGAlQ1C1j18,USA2P2330072
"String Quartet No.11 in F Minor, Op. 122: III. Récitatif (Adagio)",2,False,78666,spotify:track:02ys9P2W1zcsnWAw9LbaRD,spotify:album:4V2YVRjysd08RF0GLRDDK7,FRZ140629120
Oh Sorry Ya,41,False,155214,spotify:track:03HYOtfzbzx0HPHMcfLFOe,spotify:album:4LKKDcLPX4aZXGfnlpFPi7,QM4TX2200032
"Brahms: Symphony No. 3 in F Major, Op. 90: III. Poco allegretto",22,False,404253,spotify:track:03JOtXKbbCnjgbska9eddP,spotify:album:2dL2qDsg6teV1cueLxCRa1,GBAYC0900767
Soñar (Breaker),74,False,173053,spotify:track:03MTY1omA35sy8rWJEtGcq,spotify:album:1CMbJop3q7bSoakHutpi1W,US5TA2300178
"Divertimento in D, K.334 - Orchestral Version: 4. Adagio",0,False,481000,spotify:track:03TgTnAaYjAU2D89YrStjr,spotify:album:1HSJhsMIW2EDD4YSSkbc9e,DEF056500864
Gangnam Style (강남스타일),76,False,219493,spotify:track:03UrZgTINDqvnUMbbIMhql,spotify:album:0ZjxizLeMyFEjR27JIvD99,USUM71210283
"Waltz No. 8 in A-Flat Major, Op. 64 No. 3",9,False,139560,spotify:track:03VKTfzUvj7dzWHn5vmbH4,spotify:album:0yCrQ6dCqiI6ldqI8LPqWB,GBF077611553
悪ノ娘,50,False,277685,spotify:track:03XONBRA5fulEuMs7gNQ05,spotify:album:1UkodLwja64ZFXbehIWnEN,JPE560900223
Say Something,0,False,231466,spotify:track:03ZafJ5f3rfyF9fSB8JkX8,spotify:album:3mnYoDcAHKx6uA91f7rtAa,USE830935999
Miracle,43,False,252213,spotify:track:03foRBkthqRkysYT7FxWZV,spotify:album:54O0kItm5ej0HThVMIv5hF,KRA302300024
