name,uri,popularity,followers,image_url
T.I.,spotify:artist:4OBJLual30L7gRl5UkeRcT,73.0,4684335.0,https://i.scdn.co/image/ab6761610000e5eb12057d342f33c61b3768f2bc
Robin Williams,spotify:artist:4OrieSJUghNfNx5UuPCgxF,40.0,155659.0,https://i.scdn.co/image/71f1d9f48ea0176ccb1e4bea3925c39b4af9b3b5
Jax Jones,spotify:artist:4Q6nIcaBED8qUel8bBx6Cr,71.0,1153099.0,https://i.scdn.co/image/ab6761610000e5eb09b06c6e39518619ecd56ec5
Brian Wilson,spotify:artist:4Q82S0VzF8qlCb4PnSDurj,39.0,154954.0,https://i.scdn.co/image/a832eaa4d4ff006a419610c2c5d37140efa00225
EUNHYUK,spotify:artist:4QRqp8zf5JtqaMk2OOU3NX,36.0,68819.0,https://i.scdn.co/image/ab6761610000e5eb7d2d064a11bcb333c04e47e8
Gain,spotify:artist:4R60A85t9mTZzCqJlVswuo,30.0,108469.0,https://i.scdn.co/image/ab67616d0000b273e328c250ba600a7e0a48f867
YUKIKA,spotify:artist:4RfI1z9u2xIc5Qnqac4JbO,45.0,145607.0,https://i.scdn.co/image/ab6761610000e5eb72f8abb4e1d34336c60fd338
Block B,spotify:artist:4RnezwRV7VBJUCI1S0AE5u,49.0,996146.0,https://i.scdn.co/image/ab6761610000e5ebebb34ddba4e4ef87dbb92728
MRCH,spotify:artist:4S0q5n7ZzNzeiW0dAUnYHl,22.0,2145.0,https://i.scdn.co/image/ab67616d0000b273e58b1f86bf1ddb97e3de1e0d
Jess Glynne,spotify:artist:4ScCswdRlyA23odg9thgIO,71.0,3032428.0,https://i.scdn.co/image/ab6761610000e5eb59a426d643b74f05b8749b8d
LE SSERAFIM,spotify:artist:4SpbR6yFEvexJuaBpgAU5p,77.0,4018188.0,https://i.scdn.co/image/ab6761610000e5eb99752c006407988976248679
KISS OF LIFE,spotify:artist:4TEK9tIkcoxib4GxT3O4ky,64.0,395543.0,https://i.scdn.co/image/ab6761610000e5eb3efc9370be86846bbac90487
