artist_uri,genre
spotify:artist:0nxWeW71DDYHY26V4LzMz9,korean ost
spotify:artist:0oSGxfWSnnOXhD2fKuz2Gy,art rock
spotify:artist:0oSGxfWSnnOXhD2fKuz2Gy,classic rock
spotify:artist:0oSGxfWSnnOXhD2fKuz2Gy,glam rock
spotify:artist:0oSGxfWSnnOXhD2fKuz2Gy,permanent wave
spotify:artist:0oSGxfWSnnOXhD2fKuz2Gy,rock
spotify:artist:0p4nmQO2msCgU4IF37Wi3j,canadian pop
spotify:artist:0p4nmQO2msCgU4IF37Wi3j,candy pop
spotify:artist:0p4nmQO2msCgU4IF37Wi3j,dance pop
spotify:artist:0p4nmQO2msCgU4IF37Wi3j,pop
spotify:artist:0p5Ot7c8cFHtS82hd1WBN3,k-pop
spotify:artist:0p5Ot7c8cFHtS82hd1WBN3,k-pop boy group
spotify:artist:0qSX3s5pJnAlSsgsCne8Cz,contemporary country
spotify:artist:0qSX3s5pJnAlSsgsCne8Cz,country
spotify:artist:0qSX3s5pJnAlSsgsCne8Cz,country road
spotify:artist:0qSX3s5pJnAlSsgsCne8Cz,modern country rock
spotify:artist:0qlWcS66ohOIi0M8JZwPft,k-pop
spotify:artist:0qlWcS66ohOIi0M8JZwPft,k-pop girl group
spotify:artist:0qmPs7q4bykvrS8NMZk7ud,malaysian mandopop
spotify:artist:0qmPs7q4bykvrS8NMZk7ud,mandopop
spotify:artist:0qmPs7q4bykvrS8NMZk7ud,taiwan singer-songwriter
spotify:artist:0r63ReVRjxrS4ATbLrdcrL,v-pop
spotify:artist:0rLLyTr5rx0qYKb63MdVW9,21st century classical
spotify:artist:0rW6fVd3yuW2CF2sLYWQtE,k-rap
spotify:artist:0rW6fVd3yuW2CF2sLYWQtE,korean old school hip hop
spotify:artist:0rvjqX7ttXeg3mTy8Xscbt,album rock
spotify:artist:0rvjqX7ttXeg3mTy8Xscbt,classic rock
spotify:artist:0rvjqX7ttXeg3mTy8Xscbt,hard rock
spotify:artist:0rvjqX7ttXeg3mTy8Xscbt,mellow gold
spotify:artist:0rvjqX7ttXeg3mTy8Xscbt,rock
spotify:artist:0rvjqX7ttXeg3mTy8Xscbt,soft rock
spotify:artist:0s0Hfb6ckk9qTjDeUOZXJp,broadway
spotify:artist:0s0wG03kPyu7MXERfcuxim,classical piano
spotify:artist:0s0wG03kPyu7MXERfcuxim,japanese classical performance
spotify:artist:0sYpJ0nCC8AlDrZFeAA7ub,k-pop
spotify:artist:0steWfkS4hwaErh84SlHMW,college a cappella
spotify:artist:0tRFWXqKBBQcu5oFVOgVzX,alt z
spotify:artist:0tZl5OAXf9jYXFmfRGejs2,korean ost
spotify:artist:0tkHE1pQ5ZCgQb8WZ0ba79,k-rap
spotify:artist:0tkHE1pQ5ZCgQb8WZ0ba79,korean r&b
spotify:artist:0tzSBCPJZmHTdOA3ZV2mN3,k-pop
spotify:artist:0uRdK8gy7fXJGRywrlmPM7,cape town indie
