name,popularity,explicit,duration_ms,uri,album_uri
Coppélia / Tableau 2: No. 15 Scène,0,False,225666,spotify:track:0LArcL3gk60nP3cxr6LWGx,spotify:album:7jKT8NC2XfAs9RFKsrGz2p
ROYAL,61,False,206226,spotify:track:0LMdtBOxbVgrYoA4n0Vwvv,spotify:album:1AFVTHHm7kKoQ6Rgb25x3p
Technologic,49,False,284280,spotify:track:0LSLM0zuWRkEYemF7JcfEE,spotify:album:1A2GTWGtFfWp7KSQTwWOyo
"Red Lights (Bang Chan, Hyunjin)",70,False,189906,spotify:track:0LatE4S9UtCDwIdGQsFFKL,spotify:album:558tpdCejjVQNFAumRAeQj
The Election of 1800,57,True,237982,spotify:track:0LpHC9mhPAQC98IjXZIrif,spotify:album:1kCHru7uhxBUdzkm4gzRQc
"String Quartet No. 13 in B-Flat Major, Op. 130: II. Presto",2,False,122213,spotify:track:0Ls01nfIiOKq7BpUdAHc9k,spotify:album:4JhUG1lr4xztAcqyA0Jm3a
"10 Preludes, Op. 23: No. 3 in D Minor: Tempo di minuetto",0,False,221146,spotify:track:0LsNtrpdw7vz8ISVrQYMnM,spotify:album:1vlnwUAidj7bEmRhsq4zTv
The Boys,61,False,226906,spotify:track:0Me6SI6hgowLrZAKvtyVOg,spotify:album:3RlHApvIdfDGHXNHgzMlCw
Jelly,36,False,179089,spotify:track:0MsE73sXgfqOpgzCATa0Wt,spotify:album:7iTA4T8A4tDU77Dt6y3f9m
Eet,46,False,230866,spotify:track:0N9WhEz6DiBDvBxa6uJCTY,spotify:album:5t0lQDPLF22wmWCtSZkIVv
