name,uri,popularity,followers,image_url
José van Dam,spotify:artist:5qNUHMEhszyeXNYMn4sswd,33,2957,https://i.scdn.co/image/7edeefee1e00dc240f153b601cf735baba09a17a
David Firth,spotify:artist:4kjJU6zIfQi87yTWJMxJNw,24,323,https://i.scdn.co/image/ab67616d0000b273ebeba683d4b477ef2748c3bd
SUGA,spotify:artist:0ebNdVaOfp6N0oZ1guIxM8,68,1793529,https://i.scdn.co/image/ab6761610000e5eb0fad315ccb6b38517152d2cc
Afrojack,spotify:artist:4D75GcNG95ebPtNvoNVXhz,72,3889090,https://i.scdn.co/image/ab6761610000e5eb78484e23002e1607039af9b9
TWICE,spotify:artist:7n2Ycct7Beij7Dj7meI4X0,81,14766976,https://i.scdn.co/image/ab6761610000e5ebd84fd6ae9ccfc6206ea6711e
Duke Ellington,spotify:artist:4F7Q5NV6h5TSwCainz8S5A,56,787087,https://i.scdn.co/image/1e24691a352233bbe989a311d921f17e7892a87e
The MIT Logarhythms,spotify:artist:1jz5HCLwsDkpBYz80n9wbR,10,1876,https://i.scdn.co/image/ab6761610000e5eb24e0bff37a949b7de92aa4eb
Cobra Starship,spotify:artist:2aYJ5LAta2ScCdfLhKgZOY,58,477811,https://i.scdn.co/image/ab6761610000e5ebc48ae32aff5303453105b2d3
Commodores,spotify:artist:6twIAGnYuIT1pncMAsXnEm,63,1541324,https://i.scdn.co/image/ab6761610000e5eb21a213a4fe1a6f9b45d3f7f9
The Beatles,spotify:artist:3WrFJ7ztbogyGnTHbHJFl2,83,23496407,https://i.scdn.co/image/ab6761610000e5ebe9348cc01ff5d55971b22433
Styx,spotify:artist:4salDzkGmfycRqNUbyBphh,63,1589776,https://i.scdn.co/image/ab6761610000e5ebfef3008e708e59efaa5667ed
Evynne Hollens,spotify:artist:3nj3MfJCFFoKiRkAOW1R8c,41,24429,https://i.scdn.co/image/ab6761610000e5ebf9c4a13ec9833826f03a183a
A Fine Frenzy,spotify:artist:5dTYaRzOn4rXGBLH052EeQ,45,264165,https://i.scdn.co/image/15b7ee7550ed4472700d573803ff90f2967f84d1
Verbal Jint,spotify:artist:24sQuJhQ85ZygDG7sUVUxR,47,67645,https://i.scdn.co/image/ab6772690000c46c58d08bf71902410dac32d765
Synne Vo,spotify:artist:5WDOXIkjKNjEzlXmLgZVz9,46,8385,https://i.scdn.co/image/ab6761610000e5eb39c6bdc9ac28d4df7df57925
Tufts Jackson Jills,spotify:artist:1dUJZ0lbobmanl4W14h0a2,5,861,https://i.scdn.co/image/ab6761610000e5eb6d4806745c7f345bd59fd90b
Gnarls Barkley,spotify:artist:5SbkVQYYzlw1kte75QIabH,62,453048,https://i.scdn.co/image/03e8855382d21e1cbf8172c03001ab8847889f38
Johann Sebastian Bach,spotify:artist:5aIqB5nVVvmFsvSdExz408,75,3683760,https://i.scdn.co/image/a2ec08fe69ecec2748fbc764aede8f1b03ae8f88
University of Rochester Midnight Ramblers,spotify:artist:2Tv49uvEsNJXUpuFL7HuKu,14,784,https://i.scdn.co/image/ab6761610000e5eb71d410aa92b2950f9d59e2bc
Hildegard Hillebrecht,spotify:artist:1Txb4H69qwYQj2ZysUnIPW,7,68,https://i.scdn.co/image/ab67616d0000b2735eeaa1489f73ccb1e1401d74
Ratko Delorko,spotify:artist:0E1sM06TDvSpGqNQBx8FV0,10,45,https://i.scdn.co/image/ab67616d0000b2738dd4042adcca6717a808428b
Francisco Araiza,spotify:artist:5M0cOgeTBOetAbsM4FDVDP,24,2344,https://i.scdn.co/image/2dbbc246942e3d8d71b85250e31ed71fc99b1019
Gary Hoffman,spotify:artist:7qcRbaIYVuOERS3KmB71GH,5,571,https://i.scdn.co/image/9db73248b767dd6aa392b73d0b90c7634499616f
Kiri Te Kanawa,spotify:artist:3fcsflK8xu26XH4OYTcm5T,43,44077,https://i.scdn.co/image/e0ec235c44a69656460b5b311d5f691b0f0a436d
Agust D,spotify:artist:5RmQ8k4l3HZ8JoPb4mNsML,65,9563957,https://i.scdn.co/image/ab6761610000e5ebe94c521bbe0604a5fcd4f8bf
Miley Cyrus,spotify:artist:5YGY8feqx7naU7z4HrwZM6,81,18911359,https://i.scdn.co/image/ab6761610000e5eb02651b19050d8bf64b18d40a
Beyoncé,spotify:artist:6vWDO969PvNqNYHIOW5v0m,88,32218921,https://i.scdn.co/image/ab6761610000e5eb676338904deb80cffb568216
Janet Devenish,spotify:artist:7Ev9dg2zamUgQsRUp9DdRl,28,11,
Paige O'Hara,spotify:artist:7oavKrnYbTZPAPq7zCuipM,48,7860,https://i.scdn.co/image/04b70356aa016a0b99be4b7402c8637e923cee93
The Tarpeggios,spotify:artist:2HXd5pFHJyaQJr5aXfErrE,3,124,https://i.scdn.co/image/ab6761610000e5eb4b2621bf3c5f2197ee957582
MARK,spotify:artist:70DFixYAFPv4Pf9kgSfR9O,46,362799,https://i.scdn.co/image/ab6761610000e5ebaf43c5ec0e399e403009292f
*NSYNC,spotify:artist:6Ff53KvcvAj5U7Z1vojB5o,66,1849271,https://i.scdn.co/image/c56cf0cc89c8ecfec7145cf065ea2006d0706605
Various Artists,spotify:artist:0LyfQWJT6nXafLPZqxe9Of,0,1519860,https://i.scdn.co/image/ab6761610000e5eb7462d94efa2db53abba8c003
Steve Aoki,spotify:artist:77AiFEVeAVj2ORpC85QVJs,73,3687396,https://i.scdn.co/image/ab6761610000e5eb7c4240b7951da248f3404e42
Gabriella Flores,spotify:artist:0IFKI1ya1XM9LGVktNS2cS,42,245,
Philip Ledger,spotify:artist:66xtCjvWWjyvuD96T7uMXc,30,2003,https://i.scdn.co/image/99a1b38483fe98a482560264e0e20c5b5ad8b5d2
Vocal Spectrum,spotify:artist:20nWuvMfCct9xv73hRYO7O,25,8434,https://i.scdn.co/image/ab67616d0000b273293ebd0a06cf2784113d4156
Ludwig van Beethoven,spotify:artist:2wOqMjp9TyABvtHdOSOTUS,70,4474658,https://i.scdn.co/image/db022999443da6f89e250086329d98b17399b346
Christa Ludwig,spotify:artist:1Jgntox16Lhl0bFoRhV3Ar,31,7197,https://i.scdn.co/image/5cc27d54fc026130af291eb52449a9dc2e07f372
Kim Taeri,spotify:artist:0bBDQ4QeizwResorw0iD7X,39,2144,
The Statesmen,spotify:artist:5m9J0qjRMcetcTxN535NBZ,2,576,https://i.scdn.co/image/ab6761610000e5ebf79429c7357696d722ebfaf3
Cvetka Ahlin,spotify:artist:665SZgKrQ5WNGAeOnd2Mqa,13,5,https://i.scdn.co/image/ab67616d0000b2733940c62a7ad2c7b5c50ba255
Death Cab for Cutie,spotify:artist:0YrtvWJMgSdVrk3SfNjTbx,63,1392854,https://i.scdn.co/image/ab6761610000e5eb378adae733fc578108e3f534
Usher,spotify:artist:23zg3TcAtWQy7J6upgbUnj,78,9950256,https://i.scdn.co/image/ab6761610000e5eb2e42d906f4f9f672359e7379
Martti Talvela,spotify:artist:4vwjX6wY3JStfrFdnahxaR,24,1375,https://i.scdn.co/image/ab67616d0000b2732278d893851654f9cd87f08b
Avril Lavigne,spotify:artist:0p4nmQO2msCgU4IF37Wi3j,76,9043786,https://i.scdn.co/image/ab6761610000e5ebb0472fb072403737786ac79a
Lady Gaga,spotify:artist:1HY2Jd0NmPuamShAr6KMms,84,23120691,https://i.scdn.co/image/ab6761610000e5ebc8d3d98a1bccbe71393dbfbf
