artist_mbid,other_mbid,relationship_type
1325f8d5-ab22-4dc9-8fdc-f7fa6695c493,d5be5333-4171-427e-8e12-732087c6b78e,member of band
1326ac05-565b-423b-815f-e1c566b7bc1b,be547bca-8718-4762-bf1b-34a3bdb4938f,member of band
135229f7-1387-4c9d-a1e2-09b46df675c7,5676c373-0569-4e64-9ac7-1ece03891334,member of band
1355d559-f13f-4c78-a7a8-02b6d747d94e,160629ab-ec18-4931-8c95-02cb92d06186,member of band
135a6e96-6a29-4999-a18c-06b0c38b0e7b,5a35701f-9209-4742-ad44-7432d3230127,member of band
135a6e96-6a29-4999-a18c-06b0c38b0e7b,80c72415-d26a-4f49-b13e-544e50b8c188,member of band
135a6e96-6a29-4999-a18c-06b0c38b0e7b,9c15986d-ff1f-4d91-9708-f50f7445884f,member of band
135a6e96-6a29-4999-a18c-06b0c38b0e7b,dfa98803-0f8e-4aac-a3d2-a2614db30074,member of band
136b2664-686f-4ae4-acf9-6f34446636d4,3e9dae29-b455-4c6b-b054-373c3fc91567,is person
136b2664-686f-4ae4-acf9-6f34446636d4,b7ffd2af-418f-4be2-bdd1-22f8b48613da,member of band
136b287e-509f-4c61-b5ca-bf290cf1bfdb,0039c7ae-e1a7-4a7d-9b49-0cbc716821a6,member of band
138f4ce4-57e8-4a5d-bd24-1e9bb508baae,603ba565-3967-4be1-931e-9cb945394e86,member of band
13b37860-7884-445b-9279-9e81622108f3,be547bca-8718-4762-bf1b-34a3bdb4938f,member of band
13b803f1-60e0-425e-840d-eeaf900f343c,7fe96b15-5608-430e-ad25-77a01353c5d9,member of band
13b8076d-532c-4692-b896-6ecac9d9d8f4,b7442f18-d9be-4185-8b51-482510046156,member of band
13dc0109-dcf8-432c-8186-6a4074d13c13,16243662-8538-4746-a0fb-0d15b5828b8e,member of band
13f3afc6-a2c2-4807-b842-e2171073cb08,30f9b3e7-690b-4199-8441-916c37176532,member of band
13fc2b98-6c65-4646-a4f7-213d1450c94a,be547bca-8718-4762-bf1b-34a3bdb4938f,member of band
141140aa-ac85-46a2-a2e2-5ee995b51749,9bcb9c87-6259-439d-8c58-79a204ce553d,member of band
141ee13a-6d69-4af5-9191-279fad179b23,be547bca-8718-4762-bf1b-34a3bdb4938f,member of band
143472cb-de19-4da3-b8ac-8a7d01b6638d,b3785a55-2cf6-497d-b8e3-cfa21a36f997,member of band
1478adcd-e96c-441b-b5db-89d66ff456f7,0777faa3-4a8e-4616-829e-58d91a9a4254,member of band
1478adcd-e96c-441b-b5db-89d66ff456f7,fb588f59-af1a-493a-9508-ed487caa2a11,member of band
149f91ef-1287-46da-9a8e-87fee02f1471,253bfe58-d68a-4f96-9b7a-70d977cbf66d,member of band
14f65d3b-cf35-4ae9-8c76-007a5fa9ca51,02ceff75-7363-493e-a78d-912dc86c7460,member of band
1506f22f-49fd-4d41-93a6-7d468a084ae3,be547bca-8718-4762-bf1b-34a3bdb4938f,member of band
156fc168-f3c2-4072-b40b-838258e23d78,23492596-1fa6-45b1-8de6-eed4a829483b,member of band
15dfe968-50dc-4682-9718-9288fbcbde57,be547bca-8718-4762-bf1b-34a3bdb4938f,member of band
163f26bb-2e71-4f31-88c9-a46698203836,3ee9d430-5c76-4947-83bf-ebb5a9e3419c,member of band
164fc5ee-6507-490a-8586-e3db98b02df7,46a91e13-b9c7-4242-a053-b223bdd04057,member of band
166cb987-3156-4166-b0d3-f1ad5a6c514c,26f50623-f0bd-4c9f-a8f5-6145767713c8,is person
167083f8-3aaa-4177-9541-afea93de39a1,6b8cb0b6-d866-43e6-8984-7e2b25b29369,is person
16a8df2d-4752-4c12-8dd0-95f776c1c38a,be547bca-8718-4762-bf1b-34a3bdb4938f,member of band
16e12893-150a-41d7-aaf3-5ad23fc76b39,de4feabc-cd21-4568-a09c-2086bfebe2f4,member of band
16fe3640-acd0-4507-a4b5-55249528120f,6e019bc6-5c23-4935-94f0-4a896631d846,member of band
17052a12-5fa3-40cb-ae4a-61ae9ecad80a,918feca7-dae2-4785-969e-c4a281551ae7,member of band
17413933-4b1d-41fa-8365-e4948c2630fa,8dfe067c-ae90-472e-80f2-fcee9be4e158,member of band
17445494-fdb7-4af0-b424-eca112f16e5b,be547bca-8718-4762-bf1b-34a3bdb4938f,member of band
174fe0a5-2861-44d0-8bb8-0f6d639b91ef,08306695-0943-4f91-be93-a39ce7a7804f,member of band
175cedac-8b1d-48a1-9508-66a98bfd3b1b,be547bca-8718-4762-bf1b-34a3bdb4938f,member of band
178fc74c-7fac-4ee7-bdf3-84fc4c804588,66c662b6-6e2f-4930-8610-912e24c63ed1,member of band
1798d7ba-fc22-4cca-bbda-7542ab5a3c67,f46bd570-5768-462e-b84c-c7c993bbf47e,member of band
17d5c93c-f5c9-4ace-82ee-a287277bbf85,1ad52d2e-0cde-4147-95a1-93bfb8cd56df,is person
180fb463-68ff-4ad4-a2de-197ae9219a27,be547bca-8718-4762-bf1b-34a3bdb4938f,member of band
184ae1f4-9e21-4a41-bc60-bbe2a6e19fa6,0039c7ae-e1a7-4a7d-9b49-0cbc716821a6,member of band
18690715-59fa-4e4d-bcf3-8025cf1c23e0,cc197bad-dc9c-440d-a5b5-d52ba2e14234,member of band
187c5d6b-15c8-447f-86fb-f59ee4695c01,ef069340-5d44-4178-9e9f-87989fe79c1f,member of band
188e9bea-ac92-4dea-a7f5-f23f45c5ac0d,be547bca-8718-4762-bf1b-34a3bdb4938f,member of band
18a33653-bbaf-4aa7-884c-73f02a7a4515,e57f0cac-4f56-473c-8d7e-d93f753fd586,member of band
192232e2-569c-47fd-b776-3fc0ae334209,9fcc463b-7cfc-4ea4-a65e-bab77fc78e9a,member of band
194ee123-d8f4-4c9e-8cd9-0ddee08c4bb3,ccec43ec-d665-4eb2-a53c-602eec3afc43,member of band
1988de61-75c7-46b8-98b0-3790f919e565,be547bca-8718-4762-bf1b-34a3bdb4938f,member of band
199b8c86-4aff-4e97-9534-ee8f2677077a,08306695-0943-4f91-be93-a39ce7a7804f,member of band
19a3943b-19fb-4781-a585-afe9f46fd6d1,e5257dc5-1edd-4fca-b7e6-1158e00522c8,member of band
