artist_mbid,artist_mb_name,artist_sort_name,artist_disambiguation,artist_type,artist_area,artist_birthplace,artist_start_date,artist_end_date,artist_gender
cfe8d460-fc2d-4ffb-a316-dd5fd530183e,정기운,Jeong Ki Woon,KoKo Sound Studio,Person,South Korea,,,,Male
cfec5c9b-0f84-44a1-9d6e-a4438e9e2e35,金沢有希,"Kanazawa, Yūki",,Person,Japan,Tomakomai,1993-05-01,,Female
cfecc785-feac-4af1-b336-a41a67930925,平野ひかる,"Hirano, Hikaru",,Person,Japan,Ishikawa,2003-01-29,,Female
cff17d67-d443-4e74-9e5b-47c755015681,Eddie Laguna,"Laguna, Eddie",Nat King Cole,Person,United States,,,,Male
cff2a5f3-8a81-4c90-999d-b66eaf79d656,Lydia Asrat,"Asrat, Lydia",,Person,,,,,
cffedaeb-21a2-49aa-9420-b822fc26db87,野口玲菜,"Noguchi, Reina",,Person,Japan,,1993-04-15,,Female
d0068766-6116-420e-953c-23bac6eebf31,Madison Leinster,"Leinster, Madison",,Person,,,,,
d01b301a-0e76-45d6-93e8-3be6a1631930,Rachel Bolt,"Bolt, Rachel",violist,Person,,,,,
d02d9f30-80fb-402a-8f3b-e69ed9e252d2,KAMILLE,Kamille,Camille Purcell,Person,London,Streatham,1988,,Female
d02dd67e-f655-4600-bc47-f789f59e7367,Anderson .Paak,Anderson Paak,American rapper and producer,Person,United States,Oxnard,1986-02-08,,Male
d02f99a7-5487-4759-ba64-0f6d823b8b87,유빈,Yubin,Former Member of Wonder Girls,Person,South Korea,Gwangju,1988-10-04,,Female
d03618ac-6810-4f07-b825-a4bea0176815,Terry Shaddick,"Shaddick, Terry",,Person,United Kingdom,,,,Male
d037c556-a66a-4bcd-b259-7be648fe02eb,Jerome Brailey,"Brailey, Jerome",,Person,,,,,
d03d8ba8-065c-41d9-a804-d6c05a949194,P1Harmony,P1Harmony,,Group,South Korea,Seoul,2020-10-28,,
d043869f-eb0f-4b32-8d1b-ced77c78bdf1,Rusty Allen,"Allen, Rusty",,Person,United States,Monroe,1953-03-13,,Male
d051aed3-e8fe-4c16-8d9a-efbd7c35c105,中元すず香,"Nakamoto, Suzuka",,Person,Japan,Hiroshima,1997-12-20,,Female
d05ae113-813b-486f-9d29-da1174ac6591,Pink Slip,Pink Slip,Nashville producer/songwriter,Person,,,,,Male
d0659058-8a35-454e-a684-d58b5abee2bb,Dan Grech-Marguerat,"Grech-Marguerat, Dan",,Person,England,Bedford,1981-07-11,,Male
d06f65d2-26e0-4d40-95e5-22592917eb52,Jackie Jackson,"Jackson, Jackie",member of the Jackson 5,Person,United States,Gary,1951-05-04,,Male
d0722164-8944-4b3e-bc8c-8071605137ff,Alex Oriet,"Oriet, Alex",,Person,United Kingdom,,,,Male
d07dbd31-aa19-4c5b-b071-4f52b1f75e40,Cochemea,Cochemea,Cochemea is Cochemea Gastelum,Person,New York,,,,Male
d085b676-ad0c-4582-946d-5d12dd1806f7,GMT,GMT,Guy Sigsworth,Person,United Kingdom,,,,Male
d0870184-1986-495f-9a29-216a46c2bfd3,Vaetta Stewart,"Stewart, Vaetta",,Person,,,1949,,
d09258ca-06c8-4de4-8c23-589bd93f1611,Chris Rhyne,"Rhyne, Chris",,Person,United States,,,,Male
